Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
10449,11-03-2021 11:00,03-11-2021 08:00,11-03-2021 18:22,Delhi,346,DRUG OFFENSE,11,M,None,Other Crime,7,Yes,29-04-2021 11:00
10451,11-03-2021 15:00,03-11-2021 10:00,11-03-2021 23:17,Delhi,491,ILLEGAL POSSESSION,44,M,Firearm,Other Crime,7,Yes,17-04-2021 15:00
10453,14-03-2021 09:00,03-11-2021 12:00,12-03-2021 05:06,Delhi,146,VANDALISM,74,M,Blunt Object,Other Crime,7,No,
10456,14-03-2021 04:00,03-11-2021 15:00,11-03-2021 20:08,Delhi,138,IDENTITY THEFT,49,F,Explosives,Violent Crime,19,Yes,19-05-2021 04:00
10457,14-03-2021 13:00,03-11-2021 16:00,11-03-2021 18:59,Mumbai,233,ARSON,51,F,Blunt Object,Fire Accident,14,No,
10458,13-03-2021 07:00,03-11-2021 17:00,12-03-2021 13:31,Chennai,568,SHOPLIFTING,53,F,Explosives,Other Crime,19,Yes,11-04-2021 07:00
10461,12-03-2021 12:00,03-11-2021 20:00,12-03-2021 13:44,Chennai,401,ARSON,50,F,Blunt Object,Fire Accident,19,No,
10462,13-03-2021 08:00,03-11-2021 21:00,11-03-2021 22:40,Delhi,574,SHOPLIFTING,75,F,Blunt Object,Other Crime,8,Yes,02-06-2021 08:00
10465,12-03-2021 23:00,03-12-2021 00:00,12-03-2021 17:06,Mumbai,571,ILLEGAL POSSESSION,73,F,Firearm,Other Crime,12,No,
10466,13-03-2021 20:00,03-12-2021 01:00,12-03-2021 20:33,Chennai,485,ARSON,11,M,Blunt Object,Fire Accident,10,No,
10467,13-03-2021 13:00,03-12-2021 02:00,12-03-2021 16:01,Delhi,212,FRAUD,13,M,Poison,Other Crime,18,Yes,25-04-2021 13:00
10468,13-03-2021 18:00,03-12-2021 03:00,13-03-2021 00:25,Mumbai,233,FIREARM OFFENSE,31,F,Poison,Fire Accident,18,No,
10471,13-03-2021 07:00,03-12-2021 06:00,12-03-2021 17:57,Delhi,137,IDENTITY THEFT,65,F,Explosives,Violent Crime,1,No,
10473,13-03-2021 06:00,03-12-2021 08:00,13-03-2021 05:57,Delhi,485,FRAUD,45,M,Knife,Other Crime,3,Yes,25-04-2021 06:00
10477,12-03-2021 17:00,03-12-2021 12:00,13-03-2021 03:55,Mumbai,143,VEHICLE - STOLEN,74,M,Poison,Violent Crime,17,No,
10482,14-03-2021 20:00,03-12-2021 17:00,13-03-2021 12:24,Delhi,571,KIDNAPPING,48,M,Poison,Other Crime,12,Yes,06-05-2021 20:00
10491,15-03-2021 19:00,03-13-2021 02:00,13-03-2021 12:37,Delhi,354,FIREARM OFFENSE,60,M,Firearm,Fire Accident,19,No,
10493,16-03-2021 01:00,03-13-2021 04:00,13-03-2021 14:47,Delhi,584,FIREARM OFFENSE,49,M,Poison,Fire Accident,14,No,
10500,13-03-2021 18:00,03-13-2021 11:00,13-03-2021 12:21,Chennai,462,ASSAULT,15,M,Explosives,Violent Crime,14,No,
10501,14-03-2021 19:00,03-13-2021 12:00,14-03-2021 05:30,Chennai,139,SHOPLIFTING,35,F,Explosives,Other Crime,2,No,
10507,14-03-2021 12:00,03-13-2021 18:00,14-03-2021 16:27,Mumbai,580,IDENTITY THEFT,40,F,Firearm,Violent Crime,11,No,
10510,16-03-2021 09:00,03-13-2021 21:00,14-03-2021 02:52,Mumbai,237,HOMICIDE,45,F,Knife,Other Crime,10,Yes,16-12-2021 09:00
10511,14-03-2021 01:00,03-13-2021 22:00,14-03-2021 20:38,Delhi,443,IDENTITY THEFT,51,F,None,Violent Crime,7,No,
10525,15-03-2021 05:00,03-14-2021 12:00,15-03-2021 07:50,Mumbai,175,VANDALISM,21,F,Firearm,Other Crime,6,Yes,27-03-2021 05:00
10527,14-03-2021 20:00,03-14-2021 14:00,15-03-2021 13:18,Delhi,145,SHOPLIFTING,61,M,Firearm,Other Crime,2,No,
10529,14-03-2021 19:00,03-14-2021 16:00,14-03-2021 19:27,Delhi,137,KIDNAPPING,19,F,Other,Other Crime,1,No,
10531,16-03-2021 19:00,03-14-2021 18:00,15-03-2021 17:31,Delhi,485,TRAFFIC VIOLATION,71,F,Knife,Traffic Fatality,8,Yes,08-04-2021 19:00
10534,16-03-2021 19:00,03-14-2021 21:00,15-03-2021 03:07,Chennai,556,BURGLARY,38,F,Poison,Other Crime,16,No,
10535,15-03-2021 06:00,03-14-2021 22:00,15-03-2021 01:27,Mumbai,157,ASSAULT,18,F,Knife,Violent Crime,13,No,
10544,16-03-2021 21:00,03-15-2021 07:00,16-03-2021 00:23,Mumbai,144,VANDALISM,23,F,Knife,Other Crime,7,No,
10546,16-03-2021 05:00,03-15-2021 09:00,15-03-2021 16:54,Mumbai,475,PUBLIC INTOXICATION,28,F,Firearm,Other Crime,11,Yes,13-04-2021 05:00
10550,16-03-2021 17:00,03-15-2021 13:00,16-03-2021 04:13,Chennai,536,FRAUD,39,M,Poison,Other Crime,12,No,
10559,16-03-2021 14:00,03-15-2021 22:00,16-03-2021 02:44,Mumbai,429,CYBERCRIME,76,M,Blunt Object,Other Crime,8,Yes,24-04-2021 14:00
10560,18-03-2021 09:00,03-15-2021 23:00,16-03-2021 08:28,Chennai,271,FIREARM OFFENSE,60,F,Poison,Fire Accident,9,Yes,10-06-2021 09:00
10562,17-03-2021 11:00,03-16-2021 01:00,16-03-2021 17:58,Mumbai,274,EXTORTION,25,F,Poison,Other Crime,1,Yes,01-04-2021 11:00
10563,18-03-2021 10:00,03-16-2021 02:00,16-03-2021 17:52,Chennai,196,VEHICLE - STOLEN,74,F,Knife,Violent Crime,7,Yes,25-04-2021 10:00
10574,17-03-2021 06:00,03-16-2021 13:00,17-03-2021 11:59,Chennai,392,SHOPLIFTING,14,M,Other,Other Crime,7,Yes,08-05-2021 06:00
10575,17-03-2021 04:00,03-16-2021 14:00,17-03-2021 02:56,Mumbai,183,DRUG OFFENSE,13,M,Blunt Object,Other Crime,18,Yes,03-06-2021 04:00
10581,19-03-2021 17:00,03-16-2021 20:00,17-03-2021 14:32,Mumbai,591,DOMESTIC VIOLENCE,69,F,Explosives,Violent Crime,13,No,
10585,19-03-2021 12:00,03-17-2021 00:00,17-03-2021 13:50,Mumbai,166,HOMICIDE,75,M,None,Other Crime,7,No,
10590,19-03-2021 09:00,03-17-2021 05:00,17-03-2021 21:46,Delhi,296,SHOPLIFTING,38,F,None,Other Crime,7,Yes,09-06-2021 09:00
10591,18-03-2021 14:00,03-17-2021 06:00,17-03-2021 14:58,Delhi,494,DRUG OFFENSE,64,M,Explosives,Other Crime,9,Yes,07-05-2021 14:00
10594,19-03-2021 03:00,03-17-2021 09:00,18-03-2021 01:25,Chennai,166,TRAFFIC VIOLATION,54,F,Explosives,Traffic Fatality,1,No,
10596,19-03-2021 07:00,03-17-2021 11:00,17-03-2021 13:08,Mumbai,454,ARSON,35,M,Explosives,Fire Accident,10,No,
10597,17-03-2021 13:00,03-17-2021 12:00,17-03-2021 20:12,Chennai,207,VANDALISM,38,M,Other,Other Crime,11,No,
10605,17-03-2021 23:00,03-17-2021 20:00,18-03-2021 11:46,Chennai,510,FRAUD,14,M,Explosives,Other Crime,11,Yes,03-06-2021 23:00
10612,19-03-2021 17:00,03-18-2021 03:00,18-03-2021 10:14,Chennai,238,VEHICLE - STOLEN,53,M,Firearm,Violent Crime,1,Yes,15-04-2021 17:00
10614,18-03-2021 15:00,03-18-2021 05:00,18-03-2021 12:44,Mumbai,130,TRAFFIC VIOLATION,32,M,None,Traffic Fatality,5,No,
10615,19-03-2021 23:00,03-18-2021 06:00,18-03-2021 12:49,Mumbai,100,DOMESTIC VIOLENCE,25,F,Explosives,Violent Crime,5,No,
10617,18-03-2021 14:00,03-18-2021 08:00,18-03-2021 19:16,Delhi,231,IDENTITY THEFT,67,F,Blunt Object,Violent Crime,19,No,
10619,19-03-2021 08:00,03-18-2021 10:00,18-03-2021 13:09,Mumbai,276,VEHICLE - STOLEN,54,F,Other,Violent Crime,1,Yes,13-06-2021 08:00
10624,20-03-2021 20:00,03-18-2021 15:00,19-03-2021 06:44,Chennai,117,COUNTERFEITING,68,F,Knife,Other Crime,9,Yes,03-06-2021 20:00
10626,20-03-2021 22:00,03-18-2021 17:00,19-03-2021 03:25,Delhi,439,FRAUD,73,F,None,Other Crime,15,Yes,29-03-2021 22:00
10633,20-03-2021 12:00,03-19-2021 00:00,19-03-2021 15:14,Delhi,475,COUNTERFEITING,79,F,None,Other Crime,13,No,
10636,22-03-2021 00:00,03-19-2021 03:00,19-03-2021 11:34,Delhi,310,EXTORTION,11,F,Other,Other Crime,19,No,
10637,19-03-2021 19:00,03-19-2021 04:00,19-03-2021 13:21,Mumbai,155,BURGLARY,38,F,Firearm,Other Crime,16,No,
10639,21-03-2021 08:00,03-19-2021 06:00,19-03-2021 18:41,Delhi,240,HOMICIDE,39,F,Knife,Other Crime,18,No,
10640,20-03-2021 18:00,03-19-2021 07:00,19-03-2021 20:31,Delhi,493,KIDNAPPING,72,M,Poison,Other Crime,18,Yes,30-03-2021 18:00
10642,20-03-2021 14:00,03-19-2021 09:00,19-03-2021 11:51,Delhi,431,ROBBERY,45,F,None,Violent Crime,11,No,
10643,21-03-2021 12:00,03-19-2021 10:00,20-03-2021 08:36,Mumbai,254,FRAUD,31,F,Other,Other Crime,15,Yes,12-06-2021 12:00
10645,21-03-2021 16:00,03-19-2021 12:00,19-03-2021 20:58,Delhi,310,ROBBERY,52,F,Firearm,Violent Crime,4,No,
10647,22-03-2021 10:00,03-19-2021 14:00,19-03-2021 20:32,Delhi,189,SHOPLIFTING,65,M,Firearm,Other Crime,6,No,
10648,19-03-2021 20:00,03-19-2021 15:00,19-03-2021 17:52,Chennai,423,DRUG OFFENSE,27,F,Poison,Other Crime,17,No,
10650,21-03-2021 00:00,03-19-2021 17:00,19-03-2021 21:23,Mumbai,330,ILLEGAL POSSESSION,35,F,Knife,Other Crime,8,No,
10655,22-03-2021 16:00,03-19-2021 22:00,20-03-2021 04:38,Delhi,457,FIREARM OFFENSE,18,F,Firearm,Fire Accident,10,Yes,11-05-2021 16:00
10656,22-03-2021 20:00,03-19-2021 23:00,20-03-2021 04:47,Mumbai,243,SHOPLIFTING,35,M,Poison,Other Crime,18,No,
10659,20-03-2021 12:00,03-20-2021 02:00,20-03-2021 10:32,Mumbai,386,DRUG OFFENSE,60,F,Knife,Other Crime,6,Yes,08-05-2021 12:00
10665,20-03-2021 20:00,03-20-2021 08:00,21-03-2021 04:56,Mumbai,223,PUBLIC INTOXICATION,11,F,Knife,Other Crime,18,No,
10668,21-03-2021 23:00,03-20-2021 11:00,20-03-2021 12:56,Delhi,129,ROBBERY,49,F,Poison,Violent Crime,5,Yes,26-05-2021 23:00
10673,22-03-2021 13:00,03-20-2021 16:00,21-03-2021 15:12,Delhi,343,KIDNAPPING,38,F,Other,Other Crime,17,Yes,12-06-2021 13:00
10675,21-03-2021 01:00,03-20-2021 18:00,21-03-2021 04:05,Delhi,424,VANDALISM,48,F,Blunt Object,Other Crime,7,Yes,11-05-2021 01:00
10677,22-03-2021 11:00,03-20-2021 20:00,21-03-2021 18:55,Delhi,369,DOMESTIC VIOLENCE,51,M,Other,Violent Crime,16,Yes,02-04-2021 11:00
10680,22-03-2021 05:00,03-20-2021 23:00,21-03-2021 02:49,Delhi,520,PUBLIC INTOXICATION,36,M,None,Other Crime,18,Yes,01-04-2021 05:00
10681,21-03-2021 05:00,03-21-2021 00:00,21-03-2021 18:50,Mumbai,560,VANDALISM,66,M,Knife,Other Crime,16,No,
10699,22-03-2021 06:00,03-21-2021 18:00,22-03-2021 08:04,Chennai,578,KIDNAPPING,50,F,Explosives,Other Crime,19,Yes,12-05-2021 06:00
10702,22-03-2021 00:00,03-21-2021 21:00,22-03-2021 17:00,Delhi,455,HOMICIDE,32,F,Blunt Object,Other Crime,5,Yes,21-01-2022 00:00
10704,22-03-2021 21:00,03-21-2021 23:00,22-03-2021 17:00,Delhi,306,DOMESTIC VIOLENCE,27,F,Other,Violent Crime,15,No,
10722,25-03-2021 10:00,03-22-2021 17:00,23-03-2021 02:12,Delhi,316,BURGLARY,54,M,None,Other Crime,16,Yes,14-07-2021 10:00
10730,25-03-2021 02:00,03-23-2021 01:00,23-03-2021 11:37,Chennai,249,EXTORTION,75,F,Blunt Object,Other Crime,9,No,
10733,23-03-2021 08:00,03-23-2021 04:00,23-03-2021 15:20,Delhi,419,BURGLARY,54,F,Knife,Other Crime,7,No,
10734,23-03-2021 09:00,03-23-2021 05:00,24-03-2021 00:00,Mumbai,238,DRUG OFFENSE,32,F,Knife,Other Crime,9,No,
10737,25-03-2021 14:00,03-23-2021 08:00,24-03-2021 01:18,Delhi,323,BURGLARY,59,F,Poison,Other Crime,15,Yes,12-05-2021 14:00
10744,24-03-2021 22:00,03-23-2021 15:00,23-03-2021 15:05,Mumbai,183,DOMESTIC VIOLENCE,67,F,Explosives,Violent Crime,6,Yes,07-04-2021 22:00
10746,23-03-2021 19:00,03-23-2021 17:00,23-03-2021 19:56,Chennai,488,KIDNAPPING,10,F,Other,Other Crime,17,Yes,02-04-2021 19:00
10748,23-03-2021 23:00,03-23-2021 19:00,23-03-2021 22:12,Delhi,418,DOMESTIC VIOLENCE,57,F,None,Violent Crime,19,No,
10749,25-03-2021 18:00,03-23-2021 20:00,23-03-2021 20:43,Chennai,386,TRAFFIC VIOLATION,49,M,Firearm,Traffic Fatality,8,Yes,04-04-2021 18:00
10757,24-03-2021 05:00,03-24-2021 04:00,24-03-2021 11:48,Chennai,247,FRAUD,34,F,Blunt Object,Other Crime,2,Yes,27-05-2021 05:00
10758,27-03-2021 04:00,03-24-2021 05:00,24-03-2021 18:02,Chennai,552,ILLEGAL POSSESSION,28,F,Explosives,Other Crime,12,No,
10762,25-03-2021 09:00,03-24-2021 09:00,25-03-2021 06:04,Delhi,583,VANDALISM,55,M,Knife,Other Crime,11,No,
10766,26-03-2021 15:00,03-24-2021 13:00,24-03-2021 16:27,Chennai,215,COUNTERFEITING,66,F,Explosives,Other Crime,2,Yes,31-05-2021 15:00
10767,26-03-2021 00:00,03-24-2021 14:00,24-03-2021 21:31,Mumbai,186,FIREARM OFFENSE,43,F,Poison,Fire Accident,13,No,
10768,26-03-2021 08:00,03-24-2021 15:00,25-03-2021 06:15,Mumbai,101,TRAFFIC VIOLATION,76,M,Blunt Object,Traffic Fatality,18,Yes,20-04-2021 08:00
10771,25-03-2021 04:00,03-24-2021 18:00,25-03-2021 17:17,Mumbai,430,BURGLARY,22,M,Blunt Object,Other Crime,6,Yes,16-09-2021 04:00
10774,27-03-2021 06:00,03-24-2021 21:00,25-03-2021 06:55,Mumbai,451,FRAUD,60,F,Other,Other Crime,5,No,
10775,25-03-2021 13:00,03-24-2021 22:00,25-03-2021 01:12,Delhi,405,VANDALISM,77,M,Other,Other Crime,11,Yes,29-04-2021 13:00
10782,26-03-2021 05:00,03-25-2021 05:00,25-03-2021 07:15,Mumbai,592,SHOPLIFTING,60,M,Poison,Other Crime,14,No,
10783,28-03-2021 04:00,03-25-2021 06:00,25-03-2021 08:21,Delhi,145,IDENTITY THEFT,19,M,Other,Violent Crime,16,No,
10788,28-03-2021 00:00,03-25-2021 11:00,25-03-2021 19:58,Delhi,529,ROBBERY,35,F,Blunt Object,Violent Crime,3,No,
10789,27-03-2021 08:00,03-25-2021 12:00,25-03-2021 19:14,Chennai,187,HOMICIDE,25,M,Poison,Other Crime,11,No,
10793,26-03-2021 20:00,03-25-2021 16:00,25-03-2021 17:32,Mumbai,372,CYBERCRIME,19,F,Blunt Object,Other Crime,19,Yes,24-05-2021 20:00
10794,27-03-2021 20:00,03-25-2021 17:00,25-03-2021 17:42,Mumbai,469,DOMESTIC VIOLENCE,56,F,Other,Violent Crime,13,Yes,13-05-2021 20:00
10797,27-03-2021 01:00,03-25-2021 20:00,26-03-2021 13:01,Delhi,489,PUBLIC INTOXICATION,71,M,Poison,Other Crime,13,Yes,15-04-2021 01:00
10800,28-03-2021 05:00,03-25-2021 23:00,26-03-2021 08:41,Delhi,427,PUBLIC INTOXICATION,22,F,Explosives,Other Crime,19,Yes,14-04-2021 05:00
10803,28-03-2021 01:00,03-26-2021 02:00,26-03-2021 10:43,Delhi,235,EXTORTION,37,F,Poison,Other Crime,15,Yes,28-04-2021 01:00
10805,26-03-2021 07:00,03-26-2021 04:00,26-03-2021 09:36,Delhi,105,SHOPLIFTING,36,F,Knife,Other Crime,2,Yes,21-06-2021 07:00
10808,27-03-2021 10:00,03-26-2021 07:00,26-03-2021 19:49,Delhi,550,ARSON,10,M,Firearm,Fire Accident,12,Yes,18-06-2021 10:00
10809,26-03-2021 19:00,03-26-2021 08:00,26-03-2021 22:37,Delhi,584,VEHICLE - STOLEN,13,M,Poison,Violent Crime,17,Yes,05-06-2021 19:00
10816,29-03-2021 11:00,03-26-2021 15:00,27-03-2021 04:16,Delhi,364,SEXUAL ASSAULT,66,F,Explosives,Violent Crime,14,No,
10819,27-03-2021 15:00,03-26-2021 18:00,26-03-2021 19:20,Chennai,566,FIREARM OFFENSE,28,F,Blunt Object,Fire Accident,12,No,
10820,29-03-2021 17:00,03-26-2021 19:00,27-03-2021 12:19,Mumbai,211,CYBERCRIME,56,F,Knife,Other Crime,15,No,
10821,28-03-2021 12:00,03-26-2021 20:00,26-03-2021 23:20,Delhi,197,IDENTITY THEFT,66,F,Firearm,Violent Crime,8,Yes,13-05-2021 12:00
10823,28-03-2021 19:00,03-26-2021 22:00,27-03-2021 12:58,Delhi,112,KIDNAPPING,52,M,Knife,Other Crime,13,Yes,07-05-2021 19:00
10824,28-03-2021 22:00,03-26-2021 23:00,27-03-2021 02:09,Mumbai,372,ROBBERY,48,F,None,Violent Crime,10,Yes,24-06-2021 22:00
10825,28-03-2021 04:00,03-27-2021 00:00,27-03-2021 09:07,Delhi,541,ILLEGAL POSSESSION,48,F,Firearm,Other Crime,8,No,
10826,29-03-2021 12:00,03-27-2021 01:00,27-03-2021 05:02,Delhi,488,SHOPLIFTING,41,F,Firearm,Other Crime,11,No,
10831,28-03-2021 19:00,03-27-2021 06:00,28-03-2021 00:59,Delhi,527,COUNTERFEITING,42,F,Explosives,Other Crime,19,No,
10832,28-03-2021 00:00,03-27-2021 07:00,27-03-2021 20:50,Mumbai,358,FIREARM OFFENSE,40,M,None,Fire Accident,19,No,
10833,28-03-2021 03:00,03-27-2021 08:00,27-03-2021 23:05,Chennai,238,VANDALISM,57,F,Knife,Other Crime,7,No,
10838,29-03-2021 15:00,03-27-2021 13:00,28-03-2021 09:36,Mumbai,501,HOMICIDE,50,F,Knife,Other Crime,14,No,
10843,28-03-2021 06:00,03-27-2021 18:00,28-03-2021 00:49,Chennai,261,SEXUAL ASSAULT,11,F,Knife,Violent Crime,5,No,
10845,30-03-2021 05:00,03-27-2021 20:00,27-03-2021 23:16,Delhi,228,TRAFFIC VIOLATION,20,M,Firearm,Traffic Fatality,17,No,
10847,29-03-2021 15:00,03-27-2021 22:00,28-03-2021 09:38,Delhi,332,ARSON,46,F,Knife,Fire Accident,17,Yes,14-06-2021 15:00
10848,30-03-2021 02:00,03-27-2021 23:00,28-03-2021 11:37,Delhi,305,ROBBERY,41,F,Blunt Object,Violent Crime,10,No,
10855,29-03-2021 19:00,03-28-2021 06:00,29-03-2021 03:49,Delhi,159,CYBERCRIME,61,F,Other,Other Crime,10,Yes,08-05-2021 19:00
10858,28-03-2021 13:00,03-28-2021 09:00,28-03-2021 15:01,Mumbai,181,HOMICIDE,55,M,None,Other Crime,19,No,
10860,29-03-2021 21:00,03-28-2021 11:00,29-03-2021 04:39,Delhi,197,IDENTITY THEFT,47,F,Blunt Object,Violent Crime,3,Yes,27-05-2021 21:00
10867,30-03-2021 17:00,03-28-2021 18:00,28-03-2021 18:18,Delhi,317,VANDALISM,34,M,Blunt Object,Other Crime,14,No,
10871,30-03-2021 20:00,03-28-2021 22:00,29-03-2021 01:20,Delhi,329,SEXUAL ASSAULT,52,F,Blunt Object,Violent Crime,2,Yes,20-10-2021 20:00
10873,30-03-2021 18:00,03-29-2021 00:00,29-03-2021 00:29,Mumbai,573,FIREARM OFFENSE,17,F,None,Fire Accident,12,Yes,17-04-2021 18:00
10876,31-03-2021 00:00,03-29-2021 03:00,29-03-2021 11:42,Mumbai,312,TRAFFIC VIOLATION,35,F,None,Traffic Fatality,16,Yes,07-04-2021 00:00
10878,31-03-2021 08:00,03-29-2021 05:00,29-03-2021 07:51,Mumbai,290,SHOPLIFTING,26,F,Other,Other Crime,10,No,
10881,29-03-2021 21:00,03-29-2021 08:00,29-03-2021 19:28,Delhi,511,KIDNAPPING,19,M,Knife,Other Crime,8,No,
10885,31-03-2021 19:00,03-29-2021 12:00,30-03-2021 05:39,Delhi,441,FRAUD,50,F,Poison,Other Crime,12,No,
10889,31-03-2021 09:00,03-29-2021 16:00,29-03-2021 19:45,Mumbai,285,FRAUD,48,F,None,Other Crime,13,No,
10899,31-03-2021 01:00,03-30-2021 02:00,30-03-2021 09:01,Mumbai,511,FIREARM OFFENSE,76,M,Firearm,Fire Accident,19,No,
10903,01-04-2021 07:00,03-30-2021 06:00,31-03-2021 04:09,Mumbai,320,HOMICIDE,78,F,Blunt Object,Other Crime,15,Yes,13-01-2023 07:00
10909,01-04-2021 17:00,03-30-2021 12:00,31-03-2021 11:55,Delhi,488,COUNTERFEITING,46,F,Firearm,Other Crime,8,No,
10913,31-03-2021 04:00,03-30-2021 16:00,30-03-2021 23:59,Mumbai,387,VEHICLE - STOLEN,59,F,Knife,Violent Crime,6,Yes,07-04-2021 04:00
10914,01-04-2021 10:00,03-30-2021 17:00,31-03-2021 03:59,Mumbai,423,BURGLARY,48,F,Poison,Other Crime,18,No,
10915,02-04-2021 14:00,03-30-2021 18:00,31-03-2021 04:31,Chennai,358,VEHICLE - STOLEN,30,M,Blunt Object,Violent Crime,3,Yes,19-06-2021 14:00
10916,02-04-2021 15:00,03-30-2021 19:00,31-03-2021 13:46,Delhi,215,COUNTERFEITING,71,F,Firearm,Other Crime,12,Yes,09-05-2021 15:00
10917,30-03-2021 21:00,03-30-2021 20:00,31-03-2021 15:08,Mumbai,488,HOMICIDE,77,F,None,Other Crime,15,Yes,24-02-2023 21:00
10921,01-04-2021 19:00,03-31-2021 00:00,31-03-2021 13:32,Delhi,287,VANDALISM,26,M,Blunt Object,Other Crime,5,Yes,06-06-2021 19:00
10924,02-04-2021 04:00,03-31-2021 03:00,31-03-2021 21:41,Delhi,339,PUBLIC INTOXICATION,37,M,Blunt Object,Other Crime,1,No,
10928,31-03-2021 09:00,03-31-2021 07:00,31-03-2021 12:13,Mumbai,436,FIREARM OFFENSE,20,M,Other,Fire Accident,9,Yes,03-05-2021 09:00
10930,01-04-2021 01:00,03-31-2021 09:00,31-03-2021 13:34,Chennai,303,PUBLIC INTOXICATION,73,F,Knife,Other Crime,7,Yes,28-04-2021 01:00
10935,02-04-2021 15:00,03-31-2021 14:00,31-03-2021 19:31,Delhi,528,ROBBERY,28,F,None,Violent Crime,17,Yes,24-07-2021 15:00
10937,01-04-2021 04:00,03-31-2021 16:00,31-03-2021 18:45,Chennai,159,VEHICLE - STOLEN,35,F,Knife,Violent Crime,13,Yes,27-06-2021 04:00
10939,03-04-2021 11:00,03-31-2021 18:00,31-03-2021 19:54,Delhi,290,VANDALISM,13,F,Knife,Other Crime,15,No,
10941,03-04-2021 19:00,03-31-2021 20:00,01-04-2021 12:52,Delhi,589,TRAFFIC VIOLATION,67,M,Knife,Traffic Fatality,16,Yes,30-04-2021 19:00
10942,02-04-2021 12:00,03-31-2021 21:00,01-04-2021 03:07,Delhi,277,KIDNAPPING,39,M,Poison,Other Crime,11,No,
10943,02-04-2021 13:00,03-31-2021 22:00,01-04-2021 20:07,Delhi,417,FIREARM OFFENSE,43,F,Other,Fire Accident,3,Yes,11-04-2021 13:00
10945,02-04-2021 05:00,04-01-2021 00:00,01-04-2021 08:30,Delhi,431,ASSAULT,78,F,Firearm,Violent Crime,8,No,
10947,02-04-2021 21:00,04-01-2021 02:00,01-04-2021 13:08,Chennai,231,BURGLARY,79,F,Knife,Other Crime,12,No,
10950,03-04-2021 08:00,04-01-2021 05:00,01-04-2021 23:54,Mumbai,544,KIDNAPPING,54,M,Firearm,Other Crime,18,Yes,21-04-2021 08:00
10954,01-04-2021 14:00,04-01-2021 09:00,02-04-2021 04:32,Chennai,198,SHOPLIFTING,50,M,Firearm,Other Crime,1,No,
10958,02-04-2021 13:00,04-01-2021 13:00,01-04-2021 22:46,Delhi,158,COUNTERFEITING,19,F,None,Other Crime,12,Yes,04-05-2021 13:00
10961,02-04-2021 21:00,04-01-2021 16:00,02-04-2021 05:08,Chennai,384,ASSAULT,26,M,Other,Violent Crime,3,No,
10968,03-04-2021 22:00,04-01-2021 23:00,02-04-2021 00:35,Chennai,287,ROBBERY,37,F,Explosives,Violent Crime,12,No,
10969,03-04-2021 05:00,04-02-2021 00:00,02-04-2021 18:47,Chennai,356,FIREARM OFFENSE,38,F,Poison,Fire Accident,2,Yes,20-04-2021 05:00
10982,03-04-2021 18:00,04-02-2021 13:00,02-04-2021 16:19,Chennai,416,ILLEGAL POSSESSION,25,M,Explosives,Other Crime,15,No,
10990,03-04-2021 01:00,04-02-2021 21:00,03-04-2021 14:41,Delhi,357,DOMESTIC VIOLENCE,43,M,Firearm,Violent Crime,18,Yes,13-05-2021 01:00
10992,05-04-2021 13:00,04-02-2021 23:00,03-04-2021 12:54,Mumbai,209,FRAUD,26,M,Firearm,Other Crime,18,No,
10994,04-04-2021 21:00,04-03-2021 01:00,03-04-2021 11:06,Delhi,262,ILLEGAL POSSESSION,56,F,Blunt Object,Other Crime,12,Yes,24-05-2021 21:00
10997,03-04-2021 16:00,04-03-2021 04:00,03-04-2021 22:37,Delhi,246,ASSAULT,70,F,None,Violent Crime,14,No,
10998,04-04-2021 11:00,04-03-2021 05:00,04-04-2021 01:06,Delhi,539,TRAFFIC VIOLATION,22,F,Other,Traffic Fatality,10,No,
10999,05-04-2021 02:00,04-03-2021 06:00,04-04-2021 01:19,Mumbai,115,HOMICIDE,71,M,Knife,Other Crime,5,Yes,27-09-2022 02:00
11001,05-04-2021 07:00,04-03-2021 08:00,04-04-2021 07:10,Chennai,330,KIDNAPPING,28,F,Poison,Other Crime,8,Yes,25-05-2021 07:00
11008,05-04-2021 05:00,04-03-2021 15:00,04-04-2021 04:16,Mumbai,329,BURGLARY,53,F,Poison,Other Crime,2,No,
11009,05-04-2021 22:00,04-03-2021 16:00,03-04-2021 19:41,Delhi,514,VEHICLE - STOLEN,43,F,Explosives,Violent Crime,16,Yes,12-04-2021 22:00
11013,04-04-2021 16:00,04-03-2021 20:00,04-04-2021 03:13,Chennai,134,ARSON,10,F,None,Fire Accident,9,Yes,11-05-2021 16:00
11014,06-04-2021 01:00,04-03-2021 21:00,04-04-2021 16:17,Mumbai,482,DRUG OFFENSE,73,F,None,Other Crime,4,No,
11021,04-04-2021 16:00,04-04-2021 04:00,05-04-2021 01:24,Chennai,497,SEXUAL ASSAULT,31,M,None,Violent Crime,6,No,
11026,06-04-2021 08:00,04-04-2021 09:00,05-04-2021 06:34,Chennai,435,BURGLARY,22,F,None,Other Crime,17,No,
11030,07-04-2021 07:00,04-04-2021 13:00,04-04-2021 17:35,Mumbai,433,ASSAULT,40,F,Knife,Violent Crime,5,Yes,03-05-2021 07:00
11031,06-04-2021 06:00,04-04-2021 14:00,05-04-2021 00:42,Delhi,510,FRAUD,44,F,Blunt Object,Other Crime,7,Yes,21-04-2021 06:00
